submission_day,feed_type,submission_count,normalized_submission_count
2022-09-30,PRODUCT_LIST_PRICE,5,5
2022-09-30,PRODUCT_LIST_REMOVE,1,1
2022-10-01,PRODUCT_FLAT_FILE_INVLOADER,6,6
2022-10-01,PRODUCT_LIST,6,6
2022-10-01,PRODUCT_LIST_IMAGE,6,6
2022-10-01,PRODUCT_LIST_INVENTORY,6,6
2022-10-01,PRODUCT_LIST_PRICE,6,6
2022-10-02,PRODUCT_FLAT_FILE_INVLOADER,1,1
2022-10-02,PRODUCT_LIST,1,1
2022-10-02,PRODUCT_LIST_IMAGE,1,1
2022-10-02,PRODUCT_LIST_INVENTORY,1,1
2022-10-02,PRODUCT_LIST_PRICE,1,1
2022-10-03,PRODUCT_FLAT_FILE_INVLOADER,10,10
2022-10-03,PRODUCT_LIST,10,10
2022-10-03,PRODUCT_LIST_IMAGE,10,10
2022-10-03,PRODUCT_LIST_INVENTORY,10,10
2022-10-03,PRODUCT_LIST_PRICE,10,10
2022-10-03,PRODUCT_LIST_REMOVE,7,7
2022-10-04,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-10-04,PRODUCT_LIST,10,10
2022-10-04,PRODUCT_LIST_IMAGE,9,9
2022-10-04,PRODUCT_LIST_INVENTORY,9,9
2022-10-04,PRODUCT_LIST_PRICE,9,9
2022-10-05,PRODUCT_FLAT_FILE_INVLOADER,18,18
2022-10-05,PRODUCT_LIST,18,18
2022-10-05,PRODUCT_LIST_IMAGE,18,18
2022-10-05,PRODUCT_LIST_INVENTORY,18,18
2022-10-05,PRODUCT_LIST_PRICE,18,18
2022-10-05,PRODUCT_LIST_REMOVE,1,1
2022-10-06,PRODUCT_FLAT_FILE_INVLOADER,6,6
2022-10-06,PRODUCT_LIST,6,6
2022-10-06,PRODUCT_LIST_IMAGE,6,6
2022-10-06,PRODUCT_LIST_INVENTORY,6,6
2022-10-06,PRODUCT_LIST_PRICE,6,6
2022-10-06,PRODUCT_LIST_REMOVE,1,1
2022-10-07,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-10-07,PRODUCT_LIST,9,9
